Target,Method,Stat_Type,Stat_LB,Stat_Val,Stat_UB
B-raf,DESC,Spearman,0.7789480703814834,0.8302940498054693,0.8710988429431575
B-raf,DESC,R**2,0.6213893154515078,0.6955554573381114,0.7531512893754134
B-raf,DESC,Kendal,0.5984270177937819,0.6454510445349101,0.6926814989355334
B-raf,CDDD,Spearman,0.7256390472172033,0.7832260005843568,0.8283331426329602
B-raf,CDDD,R**2,0.5556937563501546,0.635451522122708,0.7027595445301895
B-raf,CDDD,Kendal,0.5372313033130425,0.5872287607087481,0.6357871276616415
B-raf,DESC,Spearman,0.7690658821085469,0.8249533912127014,0.8672669706911836
B-raf,DESC,R**2,0.5996366776248083,0.6806355634615728,0.7462394869121909
B-raf,DESC,Kendal,0.5900111644221198,0.6419846387935615,0.6872484722740224
B-raf,CDDD,Spearman,0.7305043610753572,0.7939265637144182,0.8396719823570223
B-raf,CDDD,R**2,0.5593688136507221,0.6459318220314372,0.7176684861294256
B-raf,CDDD,Kendal,0.5540521509188177,0.6066007039613865,0.6546959537750511
B-raf,DESC,Spearman,0.7868772097289802,0.8342633219021371,0.8693854834557351
B-raf,DESC,R**2,0.6211270673501248,0.6964271198654741,0.7588473174067448
B-raf,DESC,Kendal,0.599917509606771,0.6464344472917857,0.6928545847650898
B-raf,CDDD,Spearman,0.7420742489841343,0.793618928952006,0.8342398505172886
B-raf,CDDD,R**2,0.5711085265277925,0.6394653900293177,0.7006561382203674
B-raf,CDDD,Kendal,0.5452095378559667,0.59553761401287,0.6412979892653204
B-raf,DESC,Spearman,0.7752536569262906,0.8307462358482302,0.8748667280974999
B-raf,DESC,R**2,0.6238041902751257,0.7103154854179201,0.7729493230052975
B-raf,DESC,Kendal,0.6001394750348124,0.6536002521305246,0.6997759846403476
B-raf,CDDD,Spearman,0.7130492643386134,0.7839019471215898,0.8367896238578401
B-raf,CDDD,R**2,0.5749928192817483,0.6547203694329309,0.7240321584482045
B-raf,CDDD,Kendal,0.5399236198727064,0.5984378746762611,0.6538548052888454
B-raf,DESC,Spearman,0.7881877943623535,0.8395930486327455,0.8796686380541789
B-raf,DESC,R**2,0.6256869951120808,0.7018730051760962,0.7613825093541582
B-raf,DESC,Kendal,0.6098042024912013,0.6571954314629752,0.7011951541837779
B-raf,CDDD,Spearman,0.7416301014213251,0.7981841293156754,0.8424016477433073
B-raf,CDDD,R**2,0.591097748058459,0.661143048607923,0.7187451947431297
B-raf,CDDD,Kendal,0.5551064152400663,0.6065424814346052,0.6585754667368213
B-raf,DESC,Spearman,0.7739545694976402,0.8279777266294692,0.8716628123721585
B-raf,DESC,R**2,0.6003874241296587,0.6764843123664427,0.7356920943772267
B-raf,DESC,Kendal,0.5949431536120676,0.6443549357385056,0.6941819794918742
B-raf,CDDD,Spearman,0.7265892628900067,0.7849845293681688,0.8341534970090029
